OCN,Org Name,CN,Cert
"088K","SmartTel Inc","SHAKEN 088K 2023-05","https://prov.smarttelinc.net/shaken/cert.pem"
"149K","Losh Communications, Inc","Losh Communications, Inc SHAKEN 149K 2024-04-05_000001","https://nyc01.trunks2.calldecibel.com:5000/stirshaken_certs/149K.pem"
"198K","TalkAsiaVoip LLC","TalkAsiaVoip LLC SHAKEN 198K","https://certificates.peeringhub.io/198K/198K.crt"
"240K","Voiceterm Inc","Voiceterm Inc SHAKEN 240K","https://certificates.peeringhub.io/240K/240K.crt"
"281K","Instacall","Instacall SHAKEN 281K","https://certificates.peeringhub.io/281K/281K.crt"
"458K","Perfect Network LLC","Perfect Network LLC SHAKEN 458K 01","https://certificates.peeringhub.io/458K/458K.crt"
"586K","Jaintel LLC","Jaintel SHAKEN 586K","https://jaintel.46labs.com"
"602K","Phonetime Inc","Phonetime Inc SHAKEN 602K","https://certificates.peeringhub.io/602K/phonetime.pem"
"650K","INTENEXT TELECOM LLC","INTENEXT TELECOM LLC 1 SHAKEN 650K","https://certificates.peeringhub.io/650K/650K.crt"
"665K","Georgialina Networks","Georgialina Networks 030624 SHAKEN 665K","https://sip.gnvoip.net:5000/stirshaken_certs/665K.crt"
"712K","Voipedia","Voipedia SHAKEN 712K","https://certificates.peeringhub.io/712K/712K.crt"
"731J","Access Tandem Inc","Access Tandem Inc SHAKEN 731J","https://certificates.peeringhub.io/731J/731J.crt"
"744J","Teleinx LLC","Teleinx LLC SHAKEN 744J","https://certificates.peeringhub.io/744J/744J.crt"
"775K","Itel Corp","Itel Corp SHAKEN 775K","https://certificates.peeringhub.io/775K/775K.crt"
"783J","IT Vocal LLC","VOCALTRANSIT SHAKEN 783J","https://shaken.vocaltransit.com/783J/vocaltransit-STIRSHAKEN.crt"
"788J","New Age Consulting Service, Inc.","SHAKEN 788J 1692309910","http://sip-proxy01.n2net.net/certs/cert-1692309910"
"861J","On Air Telecom LLC","On Air Telecom LLC SHAKEN 861J","https://onairtel.46labs.com"
